Panel,V1,V2,S1,Y1,Z1,S2,Y2,Z2,,,,,,,
External,1.6E-12,6.5E+00,0,2.1,0,0.375000018,2.475000018,0,,,,,,,
External,6.5E+00,1.3E+01,0.375000018,2.475000018,0,0.750000036,2.850000036,0,,,,,,,
External,2.6E+01,3.2E+01,0.750000036,2.850000036,0,1.125000053,3.225000053,0,,,,,,,
External,3.2E+01,3.9E+01,1.125000053,3.225000053,0,1.500000071,3.600000071,0,,,,,,,
External,4.9E+01,5.6E+01,1.500000071,3.600000071,0,1.875000089,3.975000089,0,,,,,,,
External,5.6E+01,6.2E+01,1.875000089,3.975000089,0,2.250000107,4.350000107,0,,,,,,,
External,7.3E+01,7.9E+01,2.250000107,4.350000107,0,2.625000125,4.725000125,0,,,,,,,
External,7.9E+01,8.6E+01,2.625000125,4.725000125,0,3.000000142,5.100000142,0,,,1,0,,2.1,
External,9.6E+01,1.0E+02,3.000000142,5.100000142,0,3.450000071,5.550000071,0,,,2,0.7,,3,
External,1.0E+02,1.1E+02,3.450000071,5.550000071,0,3.9,6,0,,,3,1.4,,3.75,
External,1.1E+02,1.2E+02,3.9,6,0,4.250000017,6,0.350000017,,,4,2.1,,4.5,
External,1.2E+02,1.2E+02,4.250000017,6,0.350000017,4.600000033,6,0.700000033,,,5,2.8,,5.25,
External,1.3E+02,1.3E+02,4.600000033,6,0.700000033,4.95000005,6,1.05000005,,,6,3.5,,6,
External,1.3E+02,1.3E+02,4.95000005,6,1.05000005,5.300000066,6,1.400000066,,,7,4.2,,,
External,1.4E+02,1.4E+02,5.300000066,6,1.400000066,5.650000083,6,1.750000083,,,8,4.9,,,
External,1.4E+02,1.4E+02,5.650000083,6,1.750000083,6.0000001,6,2.1000001,,,9,5.6,,,
External,1.5E+02,1.5E+02,6.0000001,6,2.1000001,6.350000116,6,2.450000116,,,10,6.3,,,
External,1.5E+02,1.5E+02,6.350000116,6,2.450000116,6.6,6,2.7,,,11,7,,,
External,1.5E+02,1.5E+02,6.6,6,2.7,6.700000133,6,2.800000133,,,12,7.8,,,8.45
External,1.5E+02,1.5E+02,6.700000133,6,2.800000133,7.05000015,6,3.15000015,,,13,8.5,,,7.75
External,1.5E+02,1.6E+02,7.05000015,6,3.15000015,7.400000166,6,3.500000166,,,14,9.2,,,
External,1.6E+02,1.6E+02,7.400000166,6,3.500000166,7.750000183,6,3.850000183,,,15,9.9,,,
External,1.6E+02,1.6E+02,7.750000183,6,3.850000183,8.100000199,6,4.200000199,,,,,,,
External,1.6E+02,1.6E+02,8.100000199,6,4.200000199,8.450000216,6,4.550000216,,,,,,,
External,1.6E+02,1.6E+02,8.450000216,6,4.550000216,8.800000233,6,4.900000233,,,,,,,
External,1.6E+02,1.5E+02,8.800000233,6,4.900000233,9.150000116,6,5.250000116,,,,,,,
External,1.5E+02,1.5E+02,9.150000116,6,5.250000116,9.3,6,5.4,,,,,,,
External,1.5E+02,1.5E+02,9.3,6,5.4,9.5,6,5.6,,,,,,,
External,1.5E+02,1.5E+02,9.5,6,5.6,9.850000017,6,5.950000017,,,,,,,
External,1.5E+02,1.4E+02,9.850000017,6,5.950000017,10.20000003,6,6.300000033,,,,,,,
External,1.4E+02,1.4E+02,10.20000003,6,6.300000033,10.54999998,6,6.649999983,,,,,,,
External,1.4E+02,1.4E+02,10.54999998,6,6.649999983,10.89999993,6,6.999999934,,,,,,,
External,1.3E+02,1.3E+02,10.89999993,6,6.999999934,11.24999995,6,7.34999995,,,,,,,
External,1.3E+02,1.2E+02,11.24999995,6,7.34999995,11.59999997,6,7.699999967,,,,,,,
External,1.2E+02,1.2E+02,11.59999997,6,7.699999967,11.94999998,6,8.049999983,,,,,,,
External,1.2E+02,1.1E+02,11.94999998,6,8.049999983,12.3,6,8.4,,,,,,,
External,1.1E+02,1.0E+02,12.3,6,8.4,12.67500002,5.624999982,8.4,,,,,,,
External,1.0E+02,9.7E+01,12.67500002,5.624999982,8.4,13.05000004,5.249999964,8.4,,,,,,,
External,8.7E+01,8.1E+01,13.05000004,5.249999964,8.4,13.42500005,4.874999947,8.4,,,,,,,
External,8.1E+01,7.4E+01,13.42500005,4.874999947,8.4,13.80000007,4.499999929,8.4,,,,,,,
External,6.4E+01,5.8E+01,13.80000007,4.499999929,8.4,14.17500009,4.124999911,8.4,,,,,,,
External,5.8E+01,5.1E+01,14.17500009,4.124999911,8.4,14.55000011,3.749999893,8.4,,,,,,,
External,4.1E+01,3.5E+01,14.55000011,3.749999893,8.4,14.92500012,3.374999875,8.4,,,,,,,
External,3.5E+01,2.8E+01,14.92500012,3.374999875,8.4,15.30000014,2.999999858,8.4,,,,,,,
External,1.5E+01,7.7E+00,15.30000014,2.999999858,8.4,15.75000007,2.549999929,8.4,,,,,,,
External,7.7E+00,5.3E-13,15.75000007,2.549999929,8.4,16.2,2.1,8.4,,,,,,,
,5.3E-13,,,2.1,8.4,,,,,,,,,,
,0.0E+00,,,0,8.4,,,,,,,,,,
