Panel,V1,V2,S1,Y1,Z1,S2,Y2,Z2
LBHD,-102.9,,,0,0,,,
LBHD,-113.6,-102.9,0.890000005,0,0.699999995,1.59,0,0
LBHD,-122.4,-113.6,0.190000009,0,1.399999991,0.890000005,0,0.699999995
LBHD,-126.7,-125.6,0.095000005,0,1.494999995,0.190000009,0,1.399999991
LBHD,-127.7,-126.7,0,0,1.59,0.095000005,0,1.494999995
LBHD,-130.3,-127.7,4.965000112,0,1.844999888,5.22,0,1.59
LBHD,-132.6,-130.3,4.710000224,0,2.099999776,4.965000112,0,1.844999888
LBHD,-137.0,-134.2,4.360000207,0,2.449999793,4.710000224,0,2.099999776
LBHD,-139.4,-137.0,4.01000019,0,2.79999981,4.360000207,0,2.449999793
LBHD,-142.3,-140.5,3.660000174,0,3.149999826,4.01000019,0,2.79999981
LBHD,-143.8,-142.3,3.310000157,0,3.499999843,3.660000174,0,3.149999826
LBHD,-145.3,-144.4,2.960000141,0,3.849999859,3.310000157,0,3.499999843
LBHD,-145.8,-145.3,2.610000124,0,4.199999876,2.960000141,0,3.849999859
LBHD,-146.0,-145.9,2.260000107,0,4.549999893,2.610000124,0,4.199999876
LBHD,-145.5,-146.0,1.910000091,0,4.899999909,2.260000107,0,4.549999893
LBHD,-144.3,-145.2,1.560000074,0,5.249999926,1.910000091,0,4.899999909
LBHD,-142.9,-144.3,1.210000057,0,5.599999943,1.560000074,0,5.249999926
LBHD,-140.2,-142.1,0.860000041,0,5.949999959,1.210000057,0,5.599999943
LBHD,-138.0,-140.2,0.510000024,0,6.299999976,0.860000041,0,5.949999959
LBHD,-134.7,-136.6,0.255000012,0,6.554999988,0.510000024,0,6.299999976
LBHD,-132.5,-134.7,0,0,6.81,0.255000012,0,6.554999988
LBHD,-131.6,-132.5,1.495000033,0,6.904999967,1.59,0,6.81
LBHD,-130.7,-131.6,1.400000066,0,6.999999934,1.495000033,0,6.904999967
LBHD,-125.2,-128.8,1.05000005,0,7.34999995,1.400000066,0,6.999999934
LBHD,-121.0,-125.2,0.700000033,0,7.699999967,1.05000005,0,7.34999995
LBHD,-114.1,-118.7,0.350000017,0,8.049999983,0.700000033,0,7.699999967
LBHD,-109.0,-114.1,0,0,8.4,0.350000017,0,8.049999983
