Panel,V1,V2,S1,Y1,Z1,S2,Y2,Z2,V1UC,V2UC
LBHD,41,43,0,0,0,0.35,0,0.35,0.268,0.281
LBHD,43,45,0.35,0,0.35,0.7,0,0.7,0.281,0.294
LBHD,46.8,48.6,0.7,0,0.7,1.05,0,1.05,0.306,0.318
LBHD,48.6,50.3,1.05,0,1.05,1.4,0,1.4,0.318,0.329
LBHD,51.9,53.1,1.4,0,1.4,1.65,0,1.65,0.34,0.347
LBHD,53.1,54.1,1.65,0,1.65,1.9,0,1.9,0.347,0.354
LBHD,-62.8,-54.1,4.05,0,5.95,8.1,0,1.9,0.411,0.354
LBHD,-55.3,-62.8,0,0,10,4.05,0,5.95,0.362,0.411
LBHD,-54.3,-55.3,1.65,0,10.25,1.9,0,10,0.355,0.362
LBHD,-53.3,-54.3,1.4,0,10.5,1.65,0,10.25,0.348,0.355
LBHD,-50.2,-51.7,1.05,0,10.85,1.4,0,10.5,0.328,0.338
LBHD,-48.5,-50.2,0.7,0,11.2,1.05,0,10.85,0.317,0.328
LBHD,-44.9,-46.7,0.35,0,11.55,0.7,0,11.2,0.293,0.305
LBHD,-42.9,-44.9,0,0,11.9,0.35,0,11.55,0.281,0.293
